Code,County,Size (Km2),Population (NPHC 2009),Capital,Governor,Deputy Governor,Women Representative,Main Economic Activities
11,Isiolo,25336.1,143294,Isiolo,Abdi Hassan Guyo,Lowasa James,Mumino Bonaya,"Tourism, Crop Farming, Nomadic Pastoralism, Apiculture and Sand Harvesting."
12,Meru,6930.1,1356301,Meru,Kawira Mwangaza,M'Ethingia Mutuma Isaac,Elizabeth Kananu,"Crop Agriculture- (Coffee, Tea, French Beans) and Dairy Farming"
13,Tharaka-Nithi,2409.5,365330,Kathwana,Muthomi Njuki,Muisrael Nyaga Derebia,Susan Ngingi Mwindu,"Crop Agriculture- (Coffee, Tea, French Beans) and Dairy Farming"
14,Embu,2555.9,516212,Embu,Cecily Mbarire,Mugo Justus Kinywa,Pamela Njori,"Crop farming – (Coffee and Tea), Livestock Production, Trade, Fishing, Forestry, Sand Harvesting, Quarrying and Tourism."
15,Kitui,24385.1,1012709,Kitui,Julias Malombe,Kanani Augustine Wambua,Irene Muthoni Kasalu,"Agriculture- (Cotton, Tobacco, Sisal, Cassava, Millet, Pigeon Peas) and Livestock Keeping."
16,Machakos,5952.9,1098584,Machakos,Wavinya Ndeti,Francis Mwangangi Kilonzo,Joyce Kamene,"Livestock Keeping, Crop Agriculture, Sand Harvesting, Mining, Tourism and Trade."
17,Makueni,8008.9,884527,Wote,Mutula Kionzo,Mulili Lucy Mumbua,Rose Museo Mumo,"Crop Agriculture (Mangoes, Water Mellon), Bee Keeping and Dairy Farming."
18,Nyandarua,3107.7,596268,Ol Kalou,Moses Badilisha Kiarie,Mwangi John Mathara,Faith Wairimu Gitau,Crop Agriculture including Flower Farming snd Dairy Farming.
19,Nyeri,2361,693558,Nyeri,Mutahi Kahiga,David Mwangi Kinaniri Waroe,Rahab Mukami Wachira,"Trade, Manufacturing, Agriculture (Tea, Coffee and Dairy Farming), Tourism and Fishing."
20,Kirinyaga,1205.4,528054,Kerugoya / Kutus,Anne Mumbi Waiguru,Wachira David Githanda,Jane Maina,"Agriculture- (Tea, Coffee, Rice), Horticulture and Dairy farming."
21,Murang’a,2325.8,942581,Murang’a,Irungu Kang'ata,Stephen Mburu Munania,Betty Maina,"Agriculture-( Coffee, Tea), Livestock Keeping, Apiculture, Trade and Tourism"
22,Kiambu,2449.2,1623282,Kiambu,Kimani Wamatangi,Kirika Rosemary Njeri,Anne Wamuratha,"Agriculture-(Coffee, Tea), Trade and Manufacturing Industries."
23,Turkana,71597.8,855399,Lodwar,Jeremiah Lomurkai,John Erus Lopeyok,Cecilia Asinyen,"Livestock- (Cattle, Camel, Donkey, Sheep and Goats), Fishing, Irrigation Agriculture, Oil Exploration and Prospecting."
24,West Pokot,8418.2,512690,Kapenguria,Simon Kachapin,Achaule Robert Komolle,Kasiwai Chepkemoi,"Crop Agriculture- (Maize, Finger Millet, Onions, Beans, Coffee and Pyrethrum), Livestock Keeping, Tourism and. Mining- (untapped gold, ruby and limestone)."
25,Samburu,20182.5,223947,Maralal,Jonathan Lati Leleliit,Samia Gabriel Lenengwezi,Pauline Lenguris,"Crop production –( Maize, Beans, Wheat, Millet), Livestock Production (Indigenous Cows, Goats, Donkeys, Camels, Sheep) and Tourism."
26,Trans-Nzoia,2469.9,818757,Kitale,George Natembeya,Bineah Philomenah Chebetibin,Lilian Chebet,"Crop farming-(Maize, Tea, Coffee), Horticulture and Livestock Keeping."
27,Uasin Gishu,2955.3,894179,Eldoret,Jonathan Bii,Barorot John Kibet,Gladys Jepkosgei-Boss Shollei,"Agriculture-(Maize, Wheat and Horticulture). Sport Tourism, Manufacturing Industries and Trade"
28,Elgeyo-Marakwet,3049.7,369998,Iten,Wisley Rotich Kipyegon,Cheserek Grace Jerutich,Caroline Ngelechei,"Livestock keeping, Small Scale Crop Farming, Mining-(Fluorspar and Oil Prospecting)."
29,Nandi,2884.5,752965,Kapsabet,Stephen Kipyego Sang,Yulita Mitei Chebotip,Cynthia Muge,"Agriculture- (Tea Maize, Sugarcane, Dairy Farming and Sport Tourism"
30,Baringo,11075.3,555561,Kabarnet,Benjamin Cheboi,Felix Kiplagat,Florance Jematiah,"Agriculture-(Coffee, Cotton, Maize, Beans), Bee Keeping, Livestock Keeping, Aloe Vera and Tourism."
31,Laikipia,8696.1,399227,Nanyuki,Joshua Irungu,Reuben Kamuri Ngatia,Jane Kagiri,"Livestock keeping, Crop farming- (Maize, Carrot, Beans, Sorghum, Potatoes), and Horticulture."
32,Nakuru,7509.5,1603325,Nakuru,Susan Kihika,Kones David Kipkemoi,Chelule Chepkorir Liza,"Agriculture- (Maize, Cabbage, Tomatoes, Dairy farming), Tourism, Manufacturing Industries and Trade"
33,Narok,17921.2,850920,Narok,Patrick Ole Ntutu,Kiprono Koech Tamalinye,Rebecca Tonkei,"Tourism, Livestock Keeping, Gold Mining, Sand Harvesting, Crop farming-(Wheat, Barley, Potatoes), and horticulture."
34,Kajiado,21292.7,687312,Kajiado,Joseph Jama Ole Lenku,Martin Moshisho Martin,Leah Sankaire,"Agriculture-(Horticulture, Food Crop Farming, Dairy and Beef Farming, Poultry Farming), Tourism, Cement Manufacturing and Salt Production (Magadi)"
35,Kericho,2454.5,752396,Kericho,Erick Kipkoech Mutai,Kirui Fredrick Kipng'etich,Beatrice Kemei,"Agriculture-(Tea, Dairy Farming) and Sports Tourism."
36,Bomet,1997.9,730129,Bomet,Hillary Barchok,David Shadrack Rotich,Linnet Chepkorir,"Tea & Coffee farming, Horticulture, Cattle Rearing and trade."
37,Kakamega,3033.8,1660651,Kakamega,Fernandes Barasa,Ayub Savula,Elsie Busihile Muhanda,"Crop production- (Sugar Cane, Maize, Beans, Cassava), Livestock keeping, Fish Farming and Tourism."
38,Vihiga,531.3,554622,Vihiga,Wilber Khasilwa Ottichilo,Gwadoya Wilberforce Kitiezo,Beatrice Kahai Adagala,"Subsistence Farming, Tea Farming, Horticulture, Livestock Farming, Trade, Cottage Industries, Quarrying & Mining."
39,Bungoma,2206.9,1375063,Bungoma,Ken Lusaka,Mbatiany Jenepher Chemtai,Catherine Nanjala Wambilianga,"Agriculture – Crop Production (Maize, Beans, Finger Millet, Sweet Potatoes, Bananas, Potatoes) and Animal Rearing,"
40,Busia,1628.4,743946,Busia,Paul Otuoma,Odera Arthur Papa,catherine Omanyo,"Fishing, Tourism and Agriculture (both crop and livestock keeping)."
41,Siaya,2496.1,842304,Siaya,James Orengo,Oduol William Odhiambo,Ombaka Christine Oduor,"Agriculture – (Rice, Cotton, Coffee, Sugarcane, Tobacco, Kales, indigenous greens, Bananas, Sweet Potatoes), Cattle & Poultry Keeping and Fishing"
42,Kisumu,2009.5,968909,Kisumu(City),Peter Anyang’ Nyong’o,Mathew Owili Ochieng,Ruth Odinga,"Fishing, Agriculture-(Rice, Sugarcane, Maize, Beans, Sweet Potatoes), Industries, Trade, Mining- (Sand Harvesting and Cement) and Tourism."
43,Homa Bay,3154.7,963794,Homa Bay,Gladys Atieno Nyasuna Wanga,Magwanga Joseph Oyugis,Joyce Atieno,"Fishing, crop farming, livestock rearing and trade."
44,Migori,2586.4,917170,Migori,Ochillo Ayacko,Mahiri Joseph Gimunta,Fatma Mohamed,"Crop Production- (Sugarcane, Tobacco, Maize, Millet, Rice) Horticulture, Apiculture and mining"
45,Kisii,1317.9,1152282,Kisii,Paul Simba Arati,Robert Onsare Monda,Doris Aburi,"Crop Farming- (Food & Cash crop), Livestock keeping, Apiculture, Mining- (Soapstone & Granite), Industry and Trade"
46,Nyamira,912.5,598252,Nyamira,Amos Nyaribo Kimwomi,Ondicho James Gesami,Jerusha Mongina Momanyi,"Crop Farming- (Tea, Sugarcane) and livestock keeping"
47,Nairobi (County),694.9,3138369,Nairobi (City),Arthur Johnson Sakaja,James Njoroge Muchiri,Esther Muthoni Rosanna Passaris,"Urban Agriculture, Industries &Trade, Fish Farming, Bee Keeping, Tourism & Wild life."
